; Some pipe(|) separated metadata about all LibriVox readers, whose work was used
; in the corpus.
;
; The meaning of the fields in left-to-right order is as follows:
;
; reader_id: the ID of the reader in the LibriVox's database
; gender: 'F' for female, 'M' for male
; subset: the corpus subset to which the reader's audio is assigned
; duration: total number of minutes of speech by the reader, included in the corpus
; name: the name under which the reader is registered in LibriVox
;
;ID  |SEX| SUBSET           |MINUTES| NAME
14   | F | train-clean-360  | 25.03 | Kristin LeMoine
16   | F | train-clean-360  | 25.11 | Alys AtteWater
17   | M | train-clean-360  | 25.04 | Gord Mackenzie
19   | F | train-clean-100  | 25.19 | Kara Shallenberg
20   | F | train-other-500  | 30.07 | Gesine
22   | F | train-clean-360  | 25.14 | Michelle Crandall
23   | F | train-clean-360  | 25.23 | Anita Roy Dobbs
25   | M | train-other-500  | 30.16 | John Gonzalez
26   | M | train-clean-100  | 25.08 | Denny Sayers
27   | M | train-clean-100  | 20.14 | Sean McKinley
28   | F | train-clean-360  | 25.03 | Kristin Hughes
29   | M | train-other-500  | 30.10 | Linton
30   | F | train-clean-360  | 25.19 | Annie Coleman Rothenberg
31   | M | train-other-500  | 23.79 | Martin Clifton
32   | F | train-clean-100  | 24.01 | Betsie Bush
36   | M | train-other-500  | 25.85 | Chip
37   | M | train-other-500  | 30.04 | wolvrin
38   | M | train-clean-360  | 25.11 | R. Francis Smith
39   | F | train-clean-100  | 25.05 | Sherry Crowther
40   | F | train-clean-100  | 25.04 | Vicki Barbour
44   | F | train-other-500  | 25.90 | travelbratd
45   | F | train-other-500  | 8.85  | Kelly Bescherer
46   | M | train-other-500  | 30.02 | Aaron Hochwimmer
47   | F | train-other-500  | 30.09 | Amanda
49   | M | train-other-500  | 28.62 | vrk74
51   | M | train-other-500  | 24.13 | rakkar
52   | F | train-other-500  | 10.99 | Luisa Hall
54   | F | train-clean-360  | 25.07 | Westwinds12
55   | M | train-clean-360  | 25.21 | David Jaquay
56   | F | train-clean-360  | 25.07 | Kirsten Ferreri
57   | F | train-other-500  | 29.41 | Ophelia Darcy
58   | M | train-other-500  | 30.06 | George Coutts
